title,specifications,price,rating,reviews,availability
Pulsar Gaming Gears,"Xlite V3 medium Wireless Gaming Mouse, Ultra Lightweight 1.94 oz (55 g), Ergonomic, Optical Switches, PAW3395 Optical Sensor (Medium, Wireless, Black)",69.96,4.5 out of 5 stars,"1,783 ratings",In Stock
DAREU A955 Lightweight Wireless Gaming Mouse with RGB Charging Dock,Tri-Mode 2.4G/USB-C/BT Mouse Up to 12K DPI Optical Sensor -KBS II Buttons Fully Programmable- 120 Hr Battery,59.99,4.5 out of 5 stars,104 ratings,In Stock
"SM900 White Wired Gaming Mouse with Honeycomb Shell,12800 DPI,7 Programmable Buttons,Lightweight Gaming Mice Ergonomic Computer Mouse Gaming for Windows/PC/Mac/Laptop Gamer",,19.89,4.4 out of 5 stars,277 ratings,In Stock
"HyperX Pulsefire Gaming Mouse, Ultra","Lightweight, 59g, Honeycomb Shell, Hex Design, RGB, HyperFlex USB Cable, Up to 16000 DPI, 6 Programmable Buttons,Black",79.95,4.6 out of 5 stars,"8,728 ratings",
Glorious Model O,"(Minus) Compact Wired Gaming Mouse - 58g Superlight Honeycomb Design, RGB, Pixart 3360 Sensor, Ambidextrous, Omron Switches - Matte White",49.99,4.6 out of 5 stars,"17,174 ratings",In Stock
Logitech G502 X Lightspeed Wireless Gaming Mouse,"LIGHTFORCE hybrid optical-mechanical switches, HERO 25K gaming sensor, compatible with PC - macOS/Windows - Black",126.75,4.5 out of 5 stars,"3,483 ratings",In Stock
"Uiosmuph LED Wireless Mouse, G12 Slim Rechargeable Wireless Silent Mouse, 2.4G Portable USB Optical Wireless Computer Mice with USB receiver and Type C Adapter (Matte Black)",,11.99,4.3 out of 5 stars,"69,798 ratings",In Stock
Turtle Beach Pure Air,"Ultra-Light Wireless Ergonomic RGB Gaming Mouse, 26K DPI Optical Sensor, 125 hour Battery, Dual Wireless System, TITAN Optical Switches, Bluetooth, RGB Illumination - Black",88.99,4.2 out of 5 stars,41 ratings,In Stock
"SM900 White Wired Gaming Mouse with Honeycomb Shell,12800 DPI,7 Programmable Buttons,Lightweight Gaming Mice Ergonomic Computer Mouse Gaming for Windows/PC/Mac/Laptop Gamer",,19.89,4.4 out of 5 stars,277 ratings,In Stock
"SM600 Honeycomb Shell Gaming Mouse Wireless,8000 DPI Tri","Modes Bluetooth/2.4G Wireless/Type-C wired Gamer Mouse with 2 Side Buttons, Macro Programmable and RGB Light for PC/Mac/Laptop,Green",22.89,4.2 out of 5 stars,"1,112 ratings",In Stock
